Case Number,Year,Type,time,Country,Activity,sex,age,fatal
2018.06.25,2018.0,Boating,Afternoon,USA,Paddling,F,57.0,N
2018.06.18,2018.0,Unprovoked,Afternoon,USA,Standing,F,11.0,N
2018.06.09,2018.0,Invalid,Morning,USA,Surfing,M,48.0,N
2018.06.08,2018.0,Unprovoked,,AUSTRALIA,Surfing,M,,N
2018.06.04,2018.0,Provoked,,MEXICO,diving,M,,N
2018.06.03.b,2018.0,Unprovoked,,AUSTRALIA,surfing,M,,N
2018.06.03.a,2018.0,Unprovoked,Afternoon,BRAZIL,Swimming,M,18.0,Y
2018.05.27,2018.0,Unprovoked,,USA,Fishing,M,52.0,N
2018.05.26.b,2018.0,Unprovoked,Afternoon,USA,Walking,M,15.0,N
2018.05.26.a,2018.0,Unprovoked,Afternoon,USA,Standing,M,12.0,N
2018.05.24,2018.0,Provoked,Morning,AUSTRALIA,Feeding,M,32.0,N
2018.05.21,2018.0,Unprovoked,,USA,boarding,M,10.0,N
2018.05.13.b,2018.0,Unprovoked,Afternoon,USA,Swimming,M,10.0,N
2018.05.13.a,2018.0,Invalid,Morning,ENGLAND,Fishing,M,21.0,N
2018.05.00,2018.0,Provoked,,AUSTRALIA,Feeding,F,34.0,N
2018.05.12,2018.0,Unprovoked,Morning,SOUTH AFRICA,Surfing,M,,N
2018.05.09,2018.0,Questionable,Morning,AUSTRALIA,Surfing,M,,N
2018.04.30.R,2018.0,Unprovoked,,THAILAND,Swimming,M,,N
2018.04.28.b,2018.0,Unprovoked,Morning,COSTA RICA,diving,M,30.0,N
2018.04.28.a,2018.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,,N
2018.04.25.b,2018.0,Questionable,Morning,AUSTRALIA,Surfing,M,,N
2018.04.25.a,2018.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,60.0,N
2018.04.24,2018.0,Unprovoked,Afternoon,AUSTRALIA,Surfing,M,,N
2018.04.23,2018.0,Unprovoked,Night,MALDIVES,Fishing,M,32.0,N
2018.04.22,2018.0,Unprovoked,Morning,SOUTH AFRICA,Paddle-skiing,M,33.0,N
2018.04.19,2018.0,Unprovoked,,USA,boarding,M,29.0,N
2018.04.15.d,2018.0,Unprovoked,,THAILAND,Swimming,M,54.0,N
2018.04.15.c,2018.0,Unprovoked,,BRAZIL,Swimming,M,34.0,
2018.04.15.b,2018.0,Unprovoked,,AUSTRALIA,Surfing,M,41.0,N
2018.04.15.a,2018.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,37.0,N
2018.04.14,2018.0,Unprovoked,Morning,BAHAMAS,Surfing,M,,N
2018.04.10.R,2018.0,Invalid,,BRAZIL,Fishing,M,56.0,N
2018.04.09,2018.0,Unprovoked,Afternoon,NEW CALEDONIA,Windsurfing,,,N
2018.04.05,2018.0,Unprovoked,Afternoon,BAHAMAS,Swimming,M,12.0,N
2018.04.03,2018.0,Unprovoked,Afternoon,SOUTH AFRICA,Surfing,M,19.0,N
2018.03.31,2018.0,Unprovoked,Morning,USA,Paddleboarding,M,25.0,N
2018.03.14,2018.0,Unprovoked,Afternoon,AUSTRALIA,Wading,M,10.0,N
2018.03.09.b,2018.0,Unprovoked,Afternoon,AUSTRALIA,Swimming,M,69.0,N
2018.03.09.a,2018.0,Unprovoked,Morning,AUSTRALIA,Surfing,M,18.0,N
2018.02.24,2018.0,Unprovoked,,SOUTH AFRICA,Diving,M,38.0,N
2018.02.23,2018.0,Unprovoked,Afternoon,AUSTRALIA,Swimming,F,55.0,N
2018.02.17,2018.0,Provoked,Night,AUSTRALIA,fishing,M,34.0,N
2018.02.15,2018.0,Unprovoked,Afternoon,AUSTRALIA,Walking,M,35.0,N
2018.02.14,2018.0,Invalid,Afternoon,AUSTRALIA,Swimming,F,,N
2018.02.11,2018.0,Invalid,,BRAZIL,Cleaning,F,46.0,N
2018.02.03,2018.0,Unprovoked,,ECUADOR,Snorkeling,M,45.0,N
2018.02.01,2018.0,Invalid,,AUSTRALIA,Spearfishing,M,14.0,N
2018.01.28,2018.0,Unprovoked,Morning,AUSTRALIA,,M,18.0,N
2018.01.21,2018.0,Unprovoked,Afternoon,NEW CALEDONIA,Spearfishing,M,,N
2018.01.14,2018.0,Unprovoked,Afternoon,AUSTRALIA,Diving,M,,N
